Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,58,WOS:000302032600067,2012,Turist@: Agent-based personalised recommendation of tourist activities,"Recommender systems in e-Tourism normally focus on helping tourists to select appropriate destinations. A related problem that has been less explored in the literature is how to provide personalised recommendations of cultural and leisure activities when the tourist has already arrived at the destination. This paper presents a novel recommendation system. Turist@, which addresses this issue. Its agent-based modular design permits to model different kinds of activities in a flexible way, and allows the implementation of a location-aware front-end in the mobile device of the user. Special care has been put in the recommendation engine, implemented via a specialised Recommender Agent. It incorporates a mixture of content-based and collaborative recommendation strategies, thus avoiding the drawbacks of each individual method, and is able to perform recommendations in heterogeneous scenarios. Recommendations take into account user profiles which are implicitly updated after the analysis of user actions (e.g., queries, evaluations). The system has been successfully deployed and tested in the World Heritage-listed city of Tarragona. (C) 2012 Elsevier Ltd. All rights reserved.",Article,"Batet, M.; Moreno, A.; Sanchez, D.; Isern, D.; Valls, A.",Multi-agent systems; Recommender systems; Tourism,Multi-agent systems;Recommender systems;Tourism;SYSTEM;MULTIAGENT;ATTRACTIONS;KNOWLEDGE;CLUSDM;TRAVEL,Spain,2-s2.0-84857659200
,,,57,WOS:000324302000004,2013,SMARTMUSEUM: A mobile recommender system for the Web of Data,"Semantic and context knowledge has been envisioned as an appropriate solution for addressing the content heterogeneity and information overload in mobile Web information access, but few have explored their full potential in mobile scenarios, where information objects refer to their physical counterparts, and retrieval is context-aware and personalized for users. We present SMARTMUSEUM, a mobile ubiquitous recommender system for the Web of Data, and its application to information needs of tourists in context-aware on-site access to cultural heritage. The SMARTMUSEUM system utilizes Semantic Web languages as the form of data representation. Ontologies are used to bridge the semantic gap between heterogeneous content descriptions, sensor inputs, and user profiles. The system makes use of an information retrieval framework wherein context data and search result clustering are used in recommendation of suitable content for mobile users. Results from laboratory experiments demonstrate that ontology-based reasoning, query expansion, search result clustering, and context knowledge lead to significant improvement in recommendation performance. The results from field trials show that the usability of the system meets users' expectations in real-world use. The results indicate that semantic content representation and retrieval can significantly improve the performance of mobile recommender systems in knowledge-rich domains. (C) 2013 Elsevier B.V. All rights reserved.",Article,"Ruotsalo, T.; Haav, K.; Stoyanov, A.; Roche, S.; Fani, E.; Deliai, R.; Makela, E.; Kauppinen, T.; Hyvonen, E.",Web of Data; Semantic Web; Information retrieval; Recommender systems; Mobile systems; Cultural heritage,Web of Data;Semantic Web;Information retrieval;Recommender systems;Mobile systems;Cultural heritage;VECTOR-SPACE MODEL;INFORMATION;KNOWLEDGE;ANNOTATION,Finland;United States;Malta;Italy;France;Bulgaria,2-s2.0-84880324837
,,,53,WOS:000317849700007,2013,A SURVEY OF CONTEXT-AWARE MOBILE RECOMMENDATIONS,"Mobile recommender systems target on recommending the right product or information to the right mobile users at anytime and anywhere. It is well known that the contextual information is often the key for the performances of mobile recommendations. Therefore, in this paper, we provide a focused survey of the recent development of context-aware mobile recommendations. After briefly reviewing the state-of-the-art of recommender systems, we first discuss the general notion of mobile context and how the contextual information is collected. Then, we introduce the existing approaches to exploit contextual information for modeling mobile recommendations. Furthermore, we summarize several existing recommendation tasks in the mobile scenarios, such as the recommendations in the tourism domain. Finally, we discuss some key issues that are still critical in the field of context-aware mobile recommendations, including the privacy problem, the energy efficiency issues, and the design of user interfaces.",Article,"Liu, Q.; Ma, H.P.; Chen, E.H.; Xiong, H.",Context-aware; mobile recommendations; recommender systems,Context-aware;mobile recommendations;recommender systems;DATA-COLLECTION;INFORMATION;PRIVACY;SYSTEMS;DESIGN;MODEL;GPS,China;United States,2-s2.0-84874804361
,,,51,WOS:000292169500143,2011,Sem-Fit: A semantic based expert system to provide recommendations in the tourism domain,"The hotel industry is one of the leading stakeholders in the tourism sector. In order to reduce the traveler's cost of seeking accommodations, enforce the return ratio efficiency of guest rooms and enhance total operating performance, evaluating and selecting a suitable hotel location has become one of the most critical issues for the hotel industry. In this scenario, recommender services are increasingly emerging which employ intelligent agents and artificial intelligence to ""cut through"" unlimited information and obtain personalized solutions. Taking this assumption into account, this paper presents Sem-Fit, a semantic hotel recommendation expert system, based on the consumer's experience about recommendation provided by the system. Sem-Fit uses the consumer's experience point of view in order to apply fuzzy logic techniques to relating customer and hotel characteristics, represented by means of domain ontologies and affect grids. After receiving a recommendation, the customer provides a valuation about the recommendation generated by the system. Based on these valuations, the rules of the system are updated in order to adjust the new recommendations to past user experiences. To test the validity of Sem-Fit, the validation accomplished includes the interaction of the customer with the system and then the results are compared with the expert recommendation for each customer profile. Moreover, the values of precision and recall and F1 have been calculated, based on three points of view, to measure the degree of relevance of the recommendations of the fuzzy system, showing that the system recommendations are on the same level as an expert in the domain. (C) 2011 Elsevier Ltd. All rights reserved.",Article,"Garcia-Crespo, A.; Lopez-Cuadrado, J.L.; Colomo-Palacios, R.; Gonzalez-Carrasco, I.; Ruiz-Mezcua, B.",Semantic technologies; Semantic labeling; Fuzzy logic; Recommender systems; Hotels,Semantic technologies;Semantic labeling;Fuzzy logic;Recommender systems;Hotels;TRAVEL AGENT;ARCHITECTURE;SERVICE;MODEL;MANAGEMENT;NETWORK;STATE,Spain,
,,,49,2-s2.0-84891957136,2011,Affective recommender systems: The role of emotions in recommender systems,"Recommender systems have traditionally relied on data-centric descriptors for content and user modeling. In recent years we have witnessed an increasing number of attempts to use emotions in di?erent ways to improve the quality of recommender systems. In this paper we introduce a unifying framework that positions the research work, that has been done so far in a scattered manner, in a three stage model. We provide examples of research that cover various aspects of the detection of emotions and the inclusion of emotions into recommender systems.",Conference Paper,Tkalcic M.; Kosir A.; Tasic J.,Emotions; Recommender systems,Emotions;Recommender systems;Data centric;Descriptors;Stage models;User Modeling;Decision making,Slovenia,
,,,48,WOS:000379097400008,2016,Member contribution-based group recommender system,"Developing group recommender systems (GRSs) is a vital requirement in many online service systems to provide recommendations in contexts in which a group of users are involved. Unfortunately, GRSs cannot be effectively supported using traditional individual recommendation techniques because it needs new models to reach an agreement to satisfy all the members of this group, given their conflicting preferences. Our goal is to generate recommendations by taking each group member's contribution into account through weighting members according to their degrees of importance. To achieve this goal, we first propose a member contribution score (MCS) model, which employs the separable non-negative matrix factorization technique on a group rating matrix, to analyze the degree of importance of each member. A Manhattan distance-based local average rating (MLA) model is then developed to refine predictions by addressing the fat tail problem. By integrating the MCS and MLA models, a member contribution-based group recommendation (MC-GR) approach is developed. Experiments show that our MC-GR approach achieves a significant improvement in the performance of group recommendations. Lastly, using the MC-GR approach, we develop a group recommender system called GroTo that can effectively recommend activities to web-based tourist groups. (C) 2016 Elsevier B.V. All rights reserved.",Article,"Wang, W.; Zhang, G.Q.; Lu, J.",Recommender systems; Group recommender systems; Collaborative filtering; Tourism; e-Services,Recommender systems;Group recommender systems;Collaborative filtering;Tourism;e-Services;MATRIX FACTORIZATION;TRUST,Australia,
,,,38,WOS:000351320100001,2015,On planning sightseeing tours with TRIPBUILDER,"We propose TRIPBUILDER, an unsupervised framework for planning personalized sightseeing tours in cities. We collect categorized Points of Interests (Pals) from Wikipedia and albums of geo-referenced photos from Flickr. By considering the photos as traces revealing the behaviors of tourists during their sightseeing tours, we extract from photo albums spatio-temporal information about the itineraries made by tourists, and we match these itineraries to the Points of Interest (PoIs) of the city. The task of recommending a personalized sightseeing tour is modeled as an instance of the Generalized Maximum Coverage (GMC) problem, where a measure of personal interest for the user given her preferences and visiting time-budget is maximized. The set of actual trajectories resulting from the GMC solution is scheduled on the tourist's agenda by exploiting a particular instance of the Traveling Salesman Problem (TSP). Experimental results on three different cities show that our approach is effective, efficient and outperforms competitive baselines. (C) 2014 Elsevier Ltd. All rights reserved.",Article,"Brilhante, I.R.; Macedo, J.A.; Nardini, F.M.; Perego, R.; Renso, C.",Recommender systems; Trajectory mining; Sightseeing tours,Recommender systems;Trajectory mining;Sightseeing tours;SYSTEM,Brazil;Italy,
,,,36,WOS:000359504900009,2015,An investigation on the serendipity problem in recommender systems,"Recommender systems are filters which suggest items or information that might be interesting to users. These systems analyze the past behavior of a user, build her profile that stores information about her interests, and exploit that profile to find potentially interesting items. The main limitation of this approach is that it may provide accurate but likely obvious suggestions, since recommended items are similar to those the user already knows. In this paper we investigate this issue, known as overspecialization or serendipity problem, by proposing a strategy that fosters the suggestion of surprisingly interesting items the user might not have otherwise discovered. The proposed strategy enriches a graph-based recommendation algorithm with background knowledge that allows the system to deeply understand the items it deals with. The hypothesis is that the infused knowledge could help to discover hidden correlations among items that go beyond simple feature similarity and therefore promote non-obvious suggestions. Two evaluations are performed to validate this hypothesis: an in vitro experiment on a subset of the HETREC2011-MOVIELENS-2K dataset, and a preliminary user study. Those evaluations show that the proposed strategy actually promotes non-obvious suggestions, by narrowing the accuracy loss. (C) 2015 Elsevier Ltd. All rights reserved.",Article,"de Gemmis, M.; Lops, P.; Semeraro, G.; Musto, C.",Recommender systems; Serendipity problem; Knowledge representation; Spreading activation; Affective feedback; Facial expressions,Recommender systems;Serendipity problem;Knowledge representation;Spreading activation;Affective feedback;Facial expressions;SPREADING ACTIVATION THEORY;RECOGNITION;SEARCH;WEB,Italy,
,,,36,2-s2.0-70350711890,2009,Integrating facial expressions into user profiling for the improvement of a multimodal recommender system,"Over the years, recommender systems have been systematically applied in both industry and academia to assist users in dealing with information overload. One of the factors that determine the performance of a recommender system is user feedback, which has been traditionally communicated through the application of explicit and implicit feedback techniques. In this paper, we propose a novel video search interface that predicts the topical relevance of a video by analysing affective aspects of user behaviour. We, furthermore, present a method for incorporating such affective features into user profiling, to facilitate the generation of meaningful recommendations, of unseen videos. Our experiment shows that multimodal interaction feature is a promising way to improve the performance of recommendation. ©2009 IEEE.",Conference Paper,Arapakis I.; Moshfeghi Y.; Joho H.; Ren R.; Hannah D.; Jose J.M.,Affective feedback; Facial expression analysis; Muiltimedia retrieval; Recommender systems; User profiling,Affective feedback;Facial expression analysis;Muiltimedia retrieval;Recommender systems;User profiling;Multimedia systems,United Kingdom,
,,,33,2-s2.0-78650138412,2010,New approaches to mood-based hybrid collaborative filtering,"Recently, mood has proved to be an important contextual feature in context-aware recommender systems (CARS) by some studies. In this paper we propose two new approaches to mood-based hybrid collaborative filtering (CF) in order to further improve the performance accuracy and user satisfaction by utilizing emotional context in CARS. We first describe the traditional user-based CF as the baseline approach, and then propose a new mood-based user-based CF which detects user preferences to each emotion. On this basis, we propose two hybrid CF approaches using multiple-step nearest neighbors search and predicted ratings fusion strategies respectively. We perform experimental comparisons of the above approaches on the Moviepilot dataset released for the Challenge on Context-Aware Movie Recommendation (CAMRa2010). The results suggest that both hybrid approaches provide improvements in performance. © 2010 ACM.",Conference Paper,Wang L.; Meng X.; Zhang Y.; Shi Y.,CF; Context; Mood; Recommender systems,CF;Context;Mood;Recommender systems;Collaborative filtering;Context-Aware;Context-aware recommender systems;Contextual feature;Data sets;Experimental comparison;Fusion strategies;Hybrid approach;Nearest neighbors;New approaches;User satisfaction;Coherent scattering;Signal filtering and prediction;Motion pictures,China,
,,,33,WOS:000389111000001,2017,Planning for tourism routes using social networks,"Traveling recommendation systems have become very popular applications for organizing and planning tourist trips. Among other challenges, these applications are faced with the task of maintaining updated information about popular tourist destinations, as well as providing useful tourist guides that meet the users preferences. In this work we present the PLANTOUR, a system that creates personalized tourist plans using the human-generated information gathered from the MINUBE1 traveling social network. The system follows an automated planning approach to generate a multiple-day plan with the most relevant points of interest of the city/region being visited. Particularly, the system collects information of users and points of interest from MINUBE, groups these points with clustering techniques to split the problem into per-day sub-problems. Then, it uses an off-the-shelf domain-independent automated planner that finds good quality tourist plans. Unlike other tourist recommender systems, the PLANTOUR planner is able to organize relevant points of interest taking into account user's expected drives, and user scores from a real social network. The paper also highlights how to use human provided recommendations to guide the search for solutions of combinatorial tasks. The resulting intelligent system opens new possibilities of combining human-generated knowledge with efficient automated techniques when solving hard computational tasks. From an engineering perspective we advocate for the use of declarative representations of problem solving tasks that have been shown to improve modeling and maintenance of intelligent systems. (C) 2016 Elsevier Ltd. All rights reserved.",Article,"Cenamor, I.; de la Rosa, T.; Nunez, S.; Borrajo, D.",Tourism routes; Automated planning; Recommender systems,Tourism routes;Automated planning;Recommender systems;SYSTEM;RECOMMENDATION;SERVICES,Spain,2-s2.0-84993965474
,,,31,WOS:000449448400013,2019,EARS: Emotion-aware recommender system based on hybrid information fusion,"Recommender systems suggest items that users might like according to their explicit and implicit feedback information, such as ratings, reviews, and clicks. However, most recommender systems focus mainly on the relationships between items and the user's final purchasing behavior while ignoring the user's emotional changes, which play an essential role in consumption activity. To address the challenge of improving the quality of recommender services, this paper proposes an emotion-aware recommender system based on hybrid information fusion in which three representative types of information are fused to comprehensively analyze the user's features: user rating data as explicit information, user social network data as implicit information and sentiment from user reviews as emotional information. The experimental results verify that the proposed approach provides a higher prediction rating and significantly increases the recommendation accuracy.",Article,"Qian, Y.F.; Zhang, Y.; Ma, X.; Yu, H.; Peng, L.M.",Hybrid information fusion; Emotion-aware intelligent system; Recommender systems; Matrix factorization,Hybrid information fusion;Emotion-aware intelligent system;Recommender systems;Matrix factorization;PREDICTION;DISEASE,China;South Korea,2-s2.0-85048977367
,,,29,2-s2.0-74049144407,2009,Enriching user profiling with affective features for the improvement of a multimodal recommender system,"Recommender systems have been systematically applied in industry and academia to help users cope with information uncertainty. However, given the multiplicity of the preferences and needs it has been shown that no approach is suitable for all users in all situations. Thus, it is believed that an effective recommender system should incorporate a variety of techniques and features to offer valuable recommendations and enhance the search experience. In this paper we propose a novel video search interface that employs a multimodal recommender system, which can predict topical relevance. The multimodal recommender accounts for interaction data, contextual information, as well as users' affective responses, and exploits these information channels to provide meaningful recommendations of unseen videos. Our experiment shows that the multimodal interaction feature is a promising way to improve the performance of recommendation. Copyright 2009 ACM.",Conference Paper,Arapakis I.; Moshfeghi Y.; Joho H.; Ren R.; Hannah D.; Jose J.M.,Affective feedback; Facial expression analysis; Multimedia retrieval; Recommender systems; User profiling,Affective feedback;Facial expression analysis;Multimedia retrieval;Recommender systems;User profiling;Affective response;Contextual information;Information channels;Multi-modal;Multi-Modal Interactions;Video search;Concentration (process);Image retrieval,United Kingdom,
,,,29,WOS:000383574500003,2016,Social group recommendation in the tourism domain,"Recommender Systems learn users' preferences and tastes in different domains to suggest potentially interesting items to users. Group Recommender Systems generate recommendations that intend to satisfy a group of users as a whole, instead of individual users. In this article, we present a social based approach for recommender systems in the tourism domain, which builds a group profile by analyzing not only users' preferences, but also the social relationships between members of a group. This aspect is a hot research topic in the recommender systems area. In addition, to generate the individual and group recommendations our approach uses a hybrid technique that combines three well-known filtering techniques: collaborative, content-based and demographic filtering. In this way, the disadvantages of one technique are overcome by the others. Our approach was materialized in a recommender system named Hermes, which suggests tourist attractions to both individuals and groups of users. We have obtained promising results when comparing our approach with classic approaches to generate recommendations to individual users and groups. These results suggest that considering the type of users' relationship to provide recommendations to groups leads to more accurate recommendations in the tourism domain. These findings can be helpful for recommender systems developers and for researchers in this area.",Article,"Christensen, I.; Schiaffino, S.; Armentano, M.",Social recommender systems; Recommender systems; Tourism,Social recommender systems;Recommender systems;Tourism;SYSTEMS,Argentina,2-s2.0-84961616488
,,,26,2-s2.0-85019901894,2017,A recommender system for tourism industry using cluster ensemble and prediction machine learning techniques,"Recommender systems have emerged in the e-commerce domain and are developed to actively recommend the right items to online users. Traditional Collaborative Filtering (CF) recommender systems recommend the items to users based on their single-rating feedback which are used to match similar users. In multi-criteria CF recommender systems, however, multi-criteria ratings are used instead of single-rating feedback which can significantly improve the accuracy of traditional CF algorithms. These systems have been successfully implemented in Tourism domain. In this paper, we propose a new recommendation method based on multi-criteria CF to enhance the predictive accuracy of recommender systems in tourism domain using clustering, dimensionality reduction and prediction methods. We use Adaptive Neuro-Fuzzy Inference Systems (ANFIS) and Support Vector Regression (SVR) as prediction techniques, Principal Component Analysis (PCA) as a dimensionality reduction technique and Self-Organizing Map (SOM) and Expectation Maximization (EM) as two well-known clustering techniques. To improve the recommendation accuracy of proposed multi-criteria CF, a cluster ensembles approach, Hypergraph Partitioning Algorithm (HGPA), is applied on SOM and EM clustering results. We evaluate the accuracy of recommendation method on TripAdvisior dataset. Our experiments confirm that cluster ensembles can provide better predictive accuracy for the proposed recommendation method in relation to the methods which solely rely on single clustering techniques. © 2017 Elsevier Ltd",Article,Nilashi M.; Bagherifard K.; Rahmani M.; Rafe V.,Cluster ensembles; Multi-criteria CF; Recommender systems; Tourism; TripAdvisior,Cluster ensembles;Multi-criteria CF;Recommender systems;Tourism;TripAdvisior;Cluster analysis;Clustering algorithms;Collaborative filtering;Conformal mapping;Electronic commerce;Forecasting;Fuzzy inference;Fuzzy neural networks;Fuzzy systems;Learning systems;Maximum principle;Online systems;Principal component analysis;Self organizing maps;Adaptive neuro-fuzzy inference system;Dimensionality reduction techniques;Machine learning techniques;Multi-criteria;Support vector regression (SVR);Reduction,Malaysia;Iran,
